id_igralke,ime,priimek,polno_ime,drzava,datum_rojstva,starost,rang,tocke,leto,kontinent
80301,Martina,Hingis,Martina Hingis,SUI,1980-09-30,20,1,6044,2000,Evropa
40106,Lindsay,Davenport,Lindsay Davenport,USA,1976-06-08,25,2,5021,2000,Severna Amerika
230220,Venus,Williams,Venus Williams,USA,1980-06-17,21,3,3694,2000,Severna Amerika
190141,Monica,Seles,Monica Seles,USA,1973-12-02,27,4,3255,2000,Severna Amerika
130113,Conchita,Martínez,Conchita Martínez,ESP,1972-04-16,29,5,2752,2000,Evropa
230234,Serena,Williams,Serena Williams,USA,1981-09-26,19,6,2306,2000,Severna Amerika
160142,Mary,Pierce,Mary Pierce,FRA,1975-01-15,26,7,2162,2000,Evropa
190008,Arantxa,Sanchez-Vicario,Arantxa Sanchez-Vicario,ESP,1971-12-18,29,8,2131,2000,Evropa
110375,Anna,Kournikova,Anna Kournikova,RUS,1981-06-07,20,9,2098,2000,Evropa
200011,Nathalie,Tauziat,Nathalie Tauziat,FRA,1967-10-17,33,10,1918,2000,Evropa
40289,Elena,Dementieva,Elena Dementieva,RUS,1981-10-15,19,11,1773,2000,Evropa
30037,Amanda,Coetzer,Amanda Coetzer,RSA,1971-10-22,29,12,1752,2000,Afrika
180175,Chanda,Rubin,Chanda Rubin,USA,1976-02-18,25,13,1722,2000,Severna Amerika
30200,Jennifer,Capriati,Jennifer Capriati,USA,1976-03-29,25,14,1663,2000,Severna Amerika
80005,Julie,Halard-Decugis,Julie Halard-Decugis,FRA,1970-09-10,30,15,1435,2000,Evropa
130450,Amélie,Mauresmo,Amélie Mauresmo,FRA,1979-07-05,21,16,1426,2000,Evropa
200109,Sandrine,Testud,Sandrine Testud,FRA,1972-04-03,29,17,1413,2000,Evropa
30458,Kim,Clijsters,Kim Clijsters,BEL,1983-06-08,18,18,1398,2000,Evropa
80150,Anke,Huber,Anke Huber,GER,1974-12-04,26,19,1369,2000,Evropa
60034,Amy,Frazier,Amy Frazier,USA,1972-09-19,28,20,1254,2000,Severna Amerika
120151,Elena,Likhovtseva,Elena Likhovtseva,RUS,1975-09-08,25,21,1215,2000,Evropa
190349,Barbara,Schett,Barbara Schett,AUT,1976-03-10,25,22,1064,2000,Evropa
130245,Magdalena,Maleeva,Magdalena Maleeva,BUL,1975-04-01,26,23,1058,2000,Evropa
40344,Jelena,Dokic,Jelena Dokic,AUS,1983-04-12,18,24,1053,2000,Oceanija
190519,Patty,Schnyder,Patty Schnyder,SUI,1978-12-14,22,25,1030,2000,Evropa
40254,Nathalie,Dechy,Nathalie Dechy,FRA,1979-02-21,22,26,1019,2000,Evropa
20323,Kristina,Brandi,Kristina Brandi,PUR,1977-03-29,24,27,942,2000,Severna Amerika
200137,Tamarine,Tanasugarn,Tamarine Tanasugarn,THA,1977-05-24,24,28,937,2000,Azija
200160,Silvija,Talaja,Silvija Talaja,CRO,1978-01-14,23,29,934,2000,Evropa
180144,Lisa,Raymond,Lisa Raymond,USA,1973-08-10,27,30,930,2000,Severna Amerika
120176,Gala,Leon Garcia,Gala Leon Garcia,ESP,1973-12-23,27,31,878,2000,Evropa
190353,Ai,Sugiyama,Ai Sugiyama,JPN,1975-07-05,25,32,875,2000,Azija
110242,Anne,Kremer,Anne Kremer,LUX,1975-10-17,25,33,852,2000,Evropa
160254,Tatiana,Panova,Tatiana Panova,RUS,1976-08-13,24,34,843,2000,Evropa
190564,Anne-Gaelle,Sidot,Anne-Gaelle Sidot,FRA,1979-07-24,21,35,841,2000,Evropa
190360,Paola,Suárez,Paola Suárez,ARG,1976-06-23,25,36,838,2000,Južna Amerika
190482,Magui,Serna,Magui Serna,ESP,1979-03-01,22,37,825,2000,Evropa
190565,Meghann,Shaughnessy,Meghann Shaughnessy,USA,1979-04-13,22,38,817,2000,Severna Amerika
